Feature,XGBoost,LightGBM,RandomForest,Average,Std
RUType_Type7,0.40750006,1.0,1.0,0.8025000194708506,0.3420800007703507
Bandwidth,0.8551921,0.50231124807396,0.33842188294344394,0.5653084186203338,0.2640820958547218
load,0.95647657,0.3713405238828968,0.3572747631765777,0.5616972854117316,0.3419612164748625
is_peak_hour,1.0,0.19568567026194145,0.11180688640746575,0.4358308522231357,0.4903815178742786
RUType_Type3,0.030861229,0.9044684129429892,0.04897091228830043,0.3281001846452474,0.4992316507426038
is_night_time,0.12605755,0.5408320493066255,0.06045539268558429,0.24244833076776615,0.2604813686006896
ESMode1,0.46604526,0.04776579352850539,0.0475502121901446,0.1871204220493441,0.24155601983354957
hour_of_day,0.28133646,0.07704160246533127,0.0027697061265030934,0.12038258837636034,0.1442521729590421
Antennas,0.18242593,0.1140215716486903,0.04269430692934431,0.11304726989137052,0.06987090700716568
ESMode2,0.16521285,0.10323574730354391,0.0025181907359095525,0.09032226426081909,0.08211246529800686
day_of_week,0.1425407,0.11710323574730354,0.009971987313068802,0.08987197211448446,0.07035461420490459
is_weekend,0.16238113,0.09244992295839753,0.013762102032135032,0.08953105082240825,0.07435249519641002
TXpower,0.13068332,0.06317411402157165,0.05859315958090367,0.08415019712765666,0.04036390434739377
RUType_Type2,0.0025321948,0.1941448382126348,0.009534606656054276,0.0687372132342972,0.10866260969101207
RUType_Type4,0.04689,0.08628659476117104,0.0034993394659355525,0.045558645323712836,0.041409682349277534
ESMode3,0.06505695,0.06779661016949153,0.0034303804228735103,0.04542798014875404,0.0363967748806494
ESMode4,0.0051305303,0.04930662557781202,0.00025082116012298955,0.01822932569098137,0.02702409696178339
RUType_Type5,0.0011638597,0.04776579352850539,0.001543081330229338,0.016824244864659253,0.026796838013885056
RUType_Type6,0.0021951052,0.009244992295839754,0.00041942669036885614,0.0039531747252220485,0.004668057244031521
ESMode6,9.800913e-05,0.0,0.0,3.266970937450727e-05,5.658559650515583e-05
Frequency,0.0,0.0,0.0,0.0,0.0
ESMode5,0.0,0.0,0.0,0.0,0.0
